City,Country,Scraping Link,Location,translated_original,translated_mymemory
Yeghvard,Armenia,,Yeghvard Armenia,Yeghvard Armenia,Yeghvard Armenien
Alaverdi,Armenia,,Alaverdi Armenia,Alaverdi Armenia,Alaverdi Armenien
Stepanavan,Armenia,,Stepanavan Armenia,Stepanavan Armenia,Stepanavan Armenien
Martuni,Armenia,,Martuni Armenia,Martuni Armenia,Martuni Armenien
Vedi,Armenia,,Vedi Armenia,Vedi Armenia,Armenien
Byureghavan,Armenia,,Byureghavan Armenia,Byureghavan Armenia,Byureghavan Armenien
Nor Hachn,Armenia,,Nor Hachn Armenia,Nor Hachn Armenia,Nor Hachn Armenien
Metsamor,Armenia,,Metsamor Armenia,Metsamor Armenia,Metsamor Armenien
Tashir,Armenia,,Tashir Armenia,Tashir Armenia,Tashir Armenien
Yeghegnadzor,Armenia,,Yeghegnadzor Armenia,Yeghegnadzor Armenia,Yeghegnadzor Armenien
Berd,Armenia,,Berd Armenia,Berd Armenia,Berd Armenien
Kajaran,Armenia,,Kajaran Armenia,Kajaran Armenia,Kajaran Armenien
Aparan,Armenia,,Aparan Armenia,Aparan Armenia,Aparan Armenien
Chambarak,Armenia,,Chambarak Armenia,Chambarak Armenia,Chambarak Armenien
Vayk,Armenia,,Vayk Armenia,Vayk Armenia,Armenia
Maralik,Armenia,,Maralik Armenia,Maralik Armenia,Maralik Armenien
Noyemberyan,Armenia,,Noyemberyan Armenia,Noyemberyan Armenia,Noyemberyan Armenia
Meghri,Armenia,,Meghri Armenia,Meghri Armenia,Meghri Armenien
Jermuk,Armenia,,Jermuk Armenia,Jermuk Armenia,Jermuk Armenien
Talin,Armenia,,Talin Armenia,Talin Armenia,Talin Armenien
Akhtala,Armenia,,Akhtala Armenia,Akhtala Armenia,Akhtala Armenien
Ayrum,Armenia,,Ayrum Armenia,Ayrum Armenia,Ayrum Armenien
Tumanyan,Armenia,,Tumanyan Armenia,Tumanyan Armenia,Tumanyan Armenien
Tsaghkadzor,Armenia,,Tsaghkadzor Armenia,Tsaghkadzor Armenia,Tsaghkadzor Armenien
Greater Capital City Statistical Area,Australia,,Greater Capital City Statistical Area Australia,Greater Capital City Statistical Area Australia,Größeres statistisches Gebiet der Hauptstadt Australien
Greater Sydney,Australia,,Greater Sydney Australia,Greater Sydney Australia,"Großraum Sydney, Australien"
Greater Melbourne,Australia,,Greater Melbourne Australia,Greater Melbourne Australia,Großraum Melbourne Australien
Greater Brisbane,Australia,,Greater Brisbane Australia,Greater Brisbane Australia,Großraum Brisbane Australien
Greater Perth,Australia,,Greater Perth Australia,Greater Perth Australia,"Großraum Perth, Australien"
Greater Adelaide,Australia,,Greater Adelaide Australia,Greater Adelaide Australia,Großraum Adelaide Australien
Australian Capital Territory,Australia,,Australian Capital Territory Australia,Australian Capital Territory Australia,Australisches Hauptstadtterritorium
Greater Hobart,Australia,,Greater Hobart Australia,Greater Hobart Australia,Großraum Hobart Australien
Greater Darwin,Australia,,Greater Darwin Australia,Greater Darwin Australia,"Großraum Darwin, Australien"
Vienna,Austria,,Vienna Austria,Vienna Austria,"Wien, Österreich"
Graz,Austria,,Graz Austria,Graz Austria,"Graz, Österreich"
Linz,Austria,,Linz Austria,Linz Austria,"Linz, Österreich"
Salzburg,Austria,,Salzburg Austria,Salzburg Austria,"Salzburg, Österreich"
Innsbruck,Austria,,Innsbruck Austria,Innsbruck Austria,"Innsbruck, Austria"
Klagenfurt am Wörthersee,Austria,,Klagenfurt am Wörthersee Austria,Klagenfurt am Wörthersee Austria,"Ort Wien, Österreich"
Villach,Austria,,Villach Austria,Villach Austria,", Österreich"
Wels,Austria,,Wels Austria,Wels Austria,Wels Österreich
Sankt Pölten,Austria,,Sankt Pölten Austria,Sankt Pölten Austria,St. Pölten Österreich
Dornbirn,Austria,,Dornbirn Austria,Dornbirn Austria,Dornbirn    Austria
Wiener Neustadt,Austria,,Wiener Neustadt Austria,Wiener Neustadt Austria,"Wiener Neustadt, Österreich"
Steyr,Austria,,Steyr Austria,Steyr Austria,"4400 Steyr, Austria"
Feldkirch,Austria,,Feldkirch Austria,Feldkirch Austria,Feldkirch (Österreich)
Bregenz,Austria,,Bregenz Austria,Bregenz Austria,"Linz, Österreich"
Leonding,Austria,,Leonding Austria,Leonding Austria,"Leonding , Österreich , 2012"
Klosterneuburg,Austria,,Klosterneuburg Austria,Klosterneuburg Austria,3400 Klosterneuburg Österreich
Baden bei Wien,Austria,,Baden bei Wien Austria,Baden bei Wien Austria,Baden bei Wien Österreich
Leoben,Austria,,Leoben Austria,Leoben Austria,- Jacksonville (United States)
Wolfsberg,Austria,,Wolfsberg Austria,Wolfsberg Austria,Wolfsberg Österreich
Traun,Austria,,Traun Austria,Traun Austria,Traun Österreich
Nassau,Bahamas,,Nassau Bahamas,Nassau Bahamas,Nassau Bahamas
Freeport,Bahamas,,Freeport Bahamas,Freeport Bahamas,Freeport Bahamas
West End,Bahamas,,West End Bahamas,West End Bahamas,West End Bahamas
Coopers Town,Bahamas,,Coopers Town Bahamas,Coopers Town Bahamas,Coopers Town Bahamas
Marsh Harbour,Bahamas,,Marsh Harbour Bahamas,Marsh Harbour Bahamas,Marsh Harbour Bahamas
Freetown,Bahamas,,Freetown Bahamas,Freetown Bahamas,Freetown Bahamas
Bahamas City,Bahamas,,Bahamas City Bahamas,Bahamas City Bahamas,Bahamas City Bahamas
Andros Town,Bahamas,,Andros Town Bahamas,Andros Town Bahamas,Andros-Stadt Bahamas
Clarence Town,Bahamas,,Clarence Town Bahamas,Clarence Town Bahamas,Clarence Town Bahamas
Dunmore Town,Bahamas,,Dunmore Town Bahamas,Dunmore Town Bahamas,Dunmore Town Bahamas
Rock Sound,Bahamas,,Rock Sound Bahamas,Rock Sound Bahamas,Rock Sound Bahamas
Arthur's Town,Bahamas,,Arthur's Town Bahamas,Arthur's Town Bahamas,Arthur's Town Bahamas
Cockburn Town,Bahamas,,Cockburn Town Bahamas,Cockburn Town Bahamas,Cockburn Town Bahamas
George Town,Bahamas,,George Town Bahamas,George Town Bahamas,"George Town, Bahamas"
Alice Town,Bahamas,,Alice Town Bahamas,Alice Town Bahamas,Alice Town Bahamas
Sweeting Cay,Bahamas,,Sweeting Cay Bahamas,Sweeting Cay Bahamas,Sweeting Cay Bahamas
Matthew Town,Bahamas,,Matthew Town Bahamas,Matthew Town Bahamas,Matthew Town Bahamas
Snug Corner,Bahamas,,Snug Corner Bahamas,Snug Corner Bahamas,Kuschelige Bahamas-Ecke
Great Harbour Cay,Bahamas,,Great Harbour Cay Bahamas,Great Harbour Cay Bahamas,Great Harbour Cay Bahamas
Nicholls Town,Bahamas,,Nicholls Town Bahamas,Nicholls Town Bahamas,Nicholls Town Bahamas
Colonel Hill,Bahamas,,Colonel Hill Bahamas,Colonel Hill Bahamas,Colonel Hill Bahamas
Pirates Well,Bahamas,,Pirates Well Bahamas,Pirates Well Bahamas,Pirates Well Bahamas
Port Nelson,Bahamas,,Port Nelson Bahamas,Port Nelson Bahamas,Port Nelson Bahamas
Duncan Town,Bahamas,,Duncan Town Bahamas,Duncan Town Bahamas,Duncan Town Bahamas
Albert Town,Bahamas,,Albert Town Bahamas,Albert Town Bahamas,Albert Town Bahamas
Thimphu,Bhutan,,Thimphu Bhutan,Thimphu Bhutan,Thimphu Bhutan
Phuntsholing,Bhutan,,Phuntsholing Bhutan,Phuntsholing Bhutan,Phuntsholing Bhutan
Paro,Bhutan,,Paro Bhutan,Paro Bhutan,Paro Bhutan
Gelephu,Bhutan,,Gelephu Bhutan,Gelephu Bhutan,Gelephu Bhutan
Samdrup Jongkhar,Bhutan,,Samdrup Jongkhar Bhutan,Samdrup Jongkhar Bhutan,Samdrup Jongkhar Bhutan
Wangdue Phodrang,Bhutan,,Wangdue Phodrang Bhutan,Wangdue Phodrang Bhutan,Wangdue Phodrang Bhutan
Punakha,Bhutan,,Punakha Bhutan,Punakha Bhutan,Punakha Bhutan
Jakar,Bhutan,,Jakar Bhutan,Jakar Bhutan,Jakar Bhutan
Nganglam,Bhutan,,Nganglam Bhutan,Nganglam Bhutan,Nganglam Bhutan
Samtse,Bhutan,,Samtse Bhutan,Samtse Bhutan,Samtse Bhutan
Sarajevo,Bosnia and Herzegovina,,Sarajevo Bosnia and Herzegovina,Sarajevo Bosnia and Herzegovina,Sarajevo Bosnien Herzegowina
Banja Luka,Bosnia and Herzegovina,,Banja Luka Bosnia and Herzegovina,Banja Luka Bosnia and Herzegovina,Banja Luka Bosnien und Herzegowina
Tuzla,Bosnia and Herzegovina,,Tuzla Bosnia and Herzegovina,Tuzla Bosnia and Herzegovina,Tuzla Bosnien und Herzegowina
Zenica,Bosnia and Herzegovina,,Zenica Bosnia and Herzegovina,Zenica Bosnia and Herzegovina,"Zenica, Bosnien und Herzegowina,"
Bijeljina,Bosnia and Herzegovina,,Bijeljina Bosnia and Herzegovina,Bijeljina Bosnia and Herzegovina,Bijeljina Bosnien und Herzegowina
Mostar,Bosnia and Herzegovina,,Mostar Bosnia and Herzegovina,Mostar Bosnia and Herzegovina,"Mostar, Bosnien-Herzegowina"
Prijedor,Bosnia and Herzegovina,,Prijedor Bosnia and Herzegovina,Prijedor Bosnia and Herzegovina,Prijedor Bosnien und Herzegowina
Brčko,Bosnia and Herzegovina,,Brčko Bosnia and Herzegovina,Brčko Bosnia and Herzegovina,Brčko Bosnien und Herzegowina
Doboj,Bosnia and Herzegovina,,Doboj Bosnia and Herzegovina,Doboj Bosnia and Herzegovina,"Adresse : Doboj , Bosnien und Herzegowina"
Ilidža,Bosnia and Herzegovina,,Ilidža Bosnia and Herzegovina,Ilidža Bosnia and Herzegovina,Ilidža Bosnien und Herzegowina
Cazin,Bosnia and Herzegovina,,Cazin Bosnia and Herzegovina,Cazin Bosnia and Herzegovina,Cazin Bosnien und Herzegowina
Zvornik,Bosnia and Herzegovina,,Zvornik Bosnia and Herzegovina,Zvornik Bosnia and Herzegovina,Zvornik Bosnien und Herzegowina
Živinice,Bosnia and Herzegovina,,Živinice Bosnia and Herzegovina,Živinice Bosnia and Herzegovina,Živinice Bosnien und Herzegowina
Bihać,Bosnia and Herzegovina,,Bihać Bosnia and Herzegovina,Bihać Bosnia and Herzegovina,Bihać Bosnien und Herzegowina
Travnik,Bosnia and Herzegovina,,Travnik Bosnia and Herzegovina,Travnik Bosnia and Herzegovina,Travnik Bosnien und Herzegowina
Gradiška,Bosnia and Herzegovina,,Gradiška Bosnia and Herzegovina,Gradiška Bosnia and Herzegovina,Gradiška Bosnien und Herzegowina
Gračanica,Bosnia and Herzegovina,,Gračanica Bosnia and Herzegovina,Gračanica Bosnia and Herzegovina,Gračanica Bosnien und Herzegowina
Lukavac,Bosnia and Herzegovina,,Lukavac Bosnia and Herzegovina,Lukavac Bosnia and Herzegovina,Lukavac Bosnien und Herzegowina
Tešanj,Bosnia and Herzegovina,,Tešanj Bosnia and Herzegovina,Tešanj Bosnia and Herzegovina,Tešanj Bosnien und Herzegowina
Sanski Most,Bosnia and Herzegovina,,Sanski Most Bosnia and Herzegovina,Sanski Most Bosnia and Herzegovina,Sanski Most Bosnien und Herzegowina
Velika Kladuša,Bosnia and Herzegovina,,Velika Kladuša Bosnia and Herzegovina,Velika Kladuša Bosnia and Herzegovina,Velika Kladuša Bosnien und Herzegowina
Visoko,Bosnia and Herzegovina,,Visoko Bosnia and Herzegovina,Visoko Bosnia and Herzegovina,Visoko (Bosnien Herzegowina)
Srebrenik,Bosnia and Herzegovina,,Srebrenik Bosnia and Herzegovina,Srebrenik Bosnia and Herzegovina,Srebrenik Bosnien und Herzegowina
Gradačac,Bosnia and Herzegovina,,Gradačac Bosnia and Herzegovina,Gradačac Bosnia and Herzegovina,Gradačac Bosnien und Herzegowina
Teslić,Bosnia and Herzegovina,,Teslić Bosnia and Herzegovina,Teslić Bosnia and Herzegovina,Teslić Bosnien und Herzegowina
Kakanj,Bosnia and Herzegovina,,Kakanj Bosnia and Herzegovina,Kakanj Bosnia and Herzegovina,Kakanj Bosnien und Herzegowina
Zavidovići,Bosnia and Herzegovina,,Zavidovići Bosnia and Herzegovina,Zavidovići Bosnia and Herzegovina,Zavidovići Bosnien und Herzegowina
Prnjavor,Bosnia and Herzegovina,,Prnjavor Bosnia and Herzegovina,Prnjavor Bosnia and Herzegovina,Prnjavor Bosnien und Herzegowina
Laktaši,Bosnia and Herzegovina,,Laktaši Bosnia and Herzegovina,Laktaši Bosnia and Herzegovina,Laktaši Bosnien und Herzegowina
Livno,Bosnia and Herzegovina,,Livno Bosnia and Herzegovina,Livno Bosnia and Herzegovina,Livno Bosnien und Herzegowina
Kalesija,Bosnia and Herzegovina,,Kalesija Bosnia and Herzegovina,Kalesija Bosnia and Herzegovina,Kalesija Bosnien und Herzegowina
Tomislavgrad,Bosnia and Herzegovina,,Tomislavgrad Bosnia and Herzegovina,Tomislavgrad Bosnia and Herzegovina,Tomislavgrad Bosnien und Herzegowina
Bugojno,Bosnia and Herzegovina,,Bugojno Bosnia and Herzegovina,Bugojno Bosnia and Herzegovina,Bugojno Bosnien und Herzegowina
Žepče,Bosnia and Herzegovina,,Žepče Bosnia and Herzegovina,Žepče Bosnia and Herzegovina,Žepče Bosnien und Herzegowina
Trebinje,Bosnia and Herzegovina,,Trebinje Bosnia and Herzegovina,Trebinje Bosnia and Herzegovina,Trebinje Bosnien und Herzegowina
Široki Brijeg,Bosnia and Herzegovina,,Široki Brijeg Bosnia and Herzegovina,Široki Brijeg Bosnia and Herzegovina,Široki Brijeg Bosnien und Herzegowina
Ljubuški,Bosnia and Herzegovina,,Ljubuški Bosnia and Herzegovina,Ljubuški Bosnia and Herzegovina,Ljubuški Bosnien und Herzegowina
Derventa,Bosnia and Herzegovina,,Derventa Bosnia and Herzegovina,Derventa Bosnia and Herzegovina,Derventa Bosnien und Herzegowina
Jajce,Bosnia and Herzegovina,,Jajce Bosnia and Herzegovina,Jajce Bosnia and Herzegovina,Jajce Bosnien und Herzegowina
Novi Grad,Bosnia and Herzegovina,,Novi Grad Bosnia and Herzegovina,Novi Grad Bosnia and Herzegovina,Novi Grad Bosnien und Herzegowina
Čapljina,Bosnia and Herzegovina,,Čapljina Bosnia and Herzegovina,Čapljina Bosnia and Herzegovina,Čapljina Bosnien und Herzegowina
Vitez,Bosnia and Herzegovina,,Vitez Bosnia and Herzegovina,Vitez Bosnia and Herzegovina,Vitez Bosnien und Herzegowina
Modriča,Bosnia and Herzegovina,,Modriča Bosnia and Herzegovina,Modriča Bosnia and Herzegovina,Modriča Bosnien und Herzegowina
Bosanska Krupa,Bosnia and Herzegovina,,Bosanska Krupa Bosnia and Herzegovina,Bosanska Krupa Bosnia and Herzegovina,Bosanska Krupa Bosnien und Herzegowina
Konjic,Bosnia and Herzegovina,,Konjic Bosnia and Herzegovina,Konjic Bosnia and Herzegovina,Konjic Bosnien und Herzegowina
Hadžići,Bosnia and Herzegovina,,Hadžići Bosnia and Herzegovina,Hadžići Bosnia and Herzegovina,Hadžići Bosnien und Herzegowina
Novi Travnik,Bosnia and Herzegovina,,Novi Travnik Bosnia and Herzegovina,Novi Travnik Bosnia and Herzegovina,Novi Travnik Bosnien und Herzegowina
Maglaj,Bosnia and Herzegovina,,Maglaj Bosnia and Herzegovina,Maglaj Bosnia and Herzegovina,Maglaj Bosnien und Herzegowina
Banovići,Bosnia and Herzegovina,,Banovići Bosnia and Herzegovina,Banovići Bosnia and Herzegovina,Banovići Bosnien und Herzegowina
Kozarska Dubica,Bosnia and Herzegovina,,Kozarska Dubica Bosnia and Herzegovina,Kozarska Dubica Bosnia and Herzegovina,Kozarska Dubica Bosnien und Herzegowina
Gornji Vakuf-Uskoplje,Bosnia and Herzegovina,,Gornji Vakuf-Uskoplje Bosnia and Herzegovina,Gornji Vakuf-Uskoplje Bosnia and Herzegovina,Gornji Vakuf-Uskoplje Bosnien und Herzegowina
Pale,Bosnia and Herzegovina,,Pale Bosnia and Herzegovina,Pale Bosnia and Herzegovina,Bosnien und Herzegowina
Goražde,Bosnia and Herzegovina,,Goražde Bosnia and Herzegovina,Goražde Bosnia and Herzegovina,Goražde Bosnien und Herzegowina
Kiseljak,Bosnia and Herzegovina,,Kiseljak Bosnia and Herzegovina,Kiseljak Bosnia and Herzegovina,Kiseljak Bosnien und Herzegowina
Posušje,Bosnia and Herzegovina,,Posušje Bosnia and Herzegovina,Posušje Bosnia and Herzegovina,Posušje Bosnien und Herzegowina
Gaborone,Botswana,,Gaborone Botswana,Gaborone Botswana,"Gaborone, Botswana"
Francistown,Botswana,,Francistown Botswana,Francistown Botswana,Francistown Botswana
Mogoditshane,Botswana,,Mogoditshane Botswana,Mogoditshane Botswana,Mogoditshane Botswana
Maun,Botswana,,Maun Botswana,Maun Botswana,Maun Botswana
Molepolole,Botswana,,Molepolole Botswana,Molepolole Botswana,Molepolole Botswana
Serowe,Botswana,,Serowe Botswana,Serowe Botswana,Serowe Botswana
Tlokweng,Botswana,,Tlokweng Botswana,Tlokweng Botswana,Tlokweng Botswana
Palapye,Botswana,,Palapye Botswana,Palapye Botswana,Palapye Botswana
Mochudi,Botswana,,Mochudi Botswana,Mochudi Botswana,Mochudi Botswana
Mahalapye,Botswana,,Mahalapye Botswana,Mahalapye Botswana,Mahalapye Botswana
Kanye,Botswana,,Kanye Botswana,Kanye Botswana,Kanye
Selibe Phikwe,Botswana,,Selibe Phikwe Botswana,Selibe Phikwe Botswana,Selibe Phikwe Botswana
Letlhakane,Botswana,,Letlhakane Botswana,Letlhakane Botswana,Letlhakane Botswana
Ramotswa,Botswana,,Ramotswa Botswana,Ramotswa Botswana,Ramotswa Botswana
Lobatse,Botswana,,Lobatse Botswana,Lobatse Botswana,Lobatse Botswana
Mmopane,Botswana,,Mmopane Botswana,Mmopane Botswana,Mmopane Botswana
Thamaga,Botswana,,Thamaga Botswana,Thamaga Botswana,Thamaga Botswana
Moshupa,Botswana,,Moshupa Botswana,Moshupa Botswana,Moshupa Botswana
Tonota,Botswana,,Tonota Botswana,Tonota Botswana,Tonota Botswana
Bobonong,Botswana,,Bobonong Botswana,Bobonong Botswana,Bobonong Botswana
Gabane,Botswana,,Gabane Botswana,Gabane Botswana,Gabane Botswana
Ghanzi,Botswana,,Ghanzi Botswana,Ghanzi Botswana,Ghanzi Botswana
Jwaneng,Botswana,,Jwaneng Botswana,Jwaneng Botswana,Jwaneng Botswana
Tutume,Botswana,,Tutume Botswana,Tutume Botswana,Tutume Botswana
Kopong,Botswana,,Kopong Botswana,Kopong Botswana,Kopong Botswana
Mmadinare,Botswana,,Mmadinare Botswana,Mmadinare Botswana,Mmadinare Botswana
Tati Siding,Botswana,,Tati Siding Botswana,Tati Siding Botswana,Tati Abstellgleis Botswana
Tshabong,Botswana,,Tshabong Botswana,Tshabong Botswana,Tshabong Botswana
Metsimotlhabe,Botswana,,Metsimotlhabe Botswana,Metsimotlhabe Botswana,Metsimotlhabe Botswana
Gumare,Botswana,,Gumare Botswana,Gumare Botswana,Gumare Botswana
Shakawe,Botswana,,Shakawe Botswana,Shakawe Botswana,Shakawe Botswana
Oodi,Botswana,,Oodi Botswana,Oodi Botswana,Botswana
Bokaa,Botswana,,Bokaa Botswana,Bokaa Botswana,Bokaa Botswana
Kasane,Botswana,,Kasane Botswana,Kasane Botswana,Kasane Botswana
Borolong,Botswana,,Borolong Botswana,Borolong Botswana,Borolong Botswana
Shoshong,Botswana,,Shoshong Botswana,Shoshong Botswana,Shoshong Botswana
Molapowabojang,Botswana,,Molapowabojang Botswana,Molapowabojang Botswana,Molapowabojang Botswana
Kazungula,Botswana,,Kazungula Botswana,Kazungula Botswana,Kazungula Botswana
Orapa,Botswana,,Orapa Botswana,Orapa Botswana,Orapa Botswana
Letlhakeng,Botswana,,Letlhakeng Botswana,Letlhakeng Botswana,Letlhakeng Botswana
Nata,Botswana,,Nata Botswana,Nata Botswana,Nata Botswana
Rakops,Botswana,,Rakops Botswana,Rakops Botswana,Rakops Botswana
