UTC_Offset,Cities,Filename,Included_Timezones
UTC+9.0,3773,UTC_plus_9_0.csv,"Asia/Chita, Asia/Dili, Asia/Jayapura, Asia/Khandyga, Asia/Pyongyang, Asia/Seoul, Asia/Tokyo, Asia/Yakutsk"
UTC+4.0,3698,UTC_plus_4_0.csv,"Asia/Baku, Asia/Dubai, Asia/Muscat, Asia/Tbilisi, Asia/Yerevan, Europe/Astrakhan, Europe/Samara, Europe/Saratov, Europe/Ulyanovsk, Indian/Mahe, Indian/Mauritius"
UTC+5.0,2270,UTC_plus_5_0.csv,"Asia/Almaty, Asia/Aqtau, Asia/Aqtobe, Asia/Ashgabat, Asia/Atyrau, Asia/Dushanbe, Asia/Karachi, Asia/Oral, Asia/Qostanay, Asia/Qyzylorda, Asia/Samarkand, Asia/Tashkent, Asia/Yekaterinburg, Indian/Maldives"
UTC+5.5,1678,UTC_plus_5_5.csv,"Asia/Colombo, Asia/Kolkata"
UTC+4.5,1360,UTC_plus_4_5.csv,Asia/Kabul
UTC+3.5,1241,UTC_plus_3_5.csv,Asia/Tehran
UTC+10.0,920,UTC_plus_10_0.csv,"Asia/Ust-Nera, Asia/Vladivostok, Australia/Brisbane, Pacific/Port_Moresby"
UTC+13.0,747,UTC_plus_13_0.csv,"Pacific/Apia, Pacific/Auckland, Pacific/Tongatapu"
UTC+6.0,727,UTC_plus_6_0.csv,"Asia/Bishkek, Asia/Dhaka, Asia/Omsk, Asia/Thimphu, Asia/Urumqi"
UTC+6.5,581,UTC_plus_6_5.csv,Asia/Yangon
UTC-7.0,525,UTC_minus_7_0.csv,"America/Boise, America/Ciudad_Juarez, America/Dawson, America/Dawson_Creek, America/Denver, America/Edmonton, America/Hermosillo, America/Inuvik, America/Mazatlan, America/Phoenix, America/Whitehorse"
UTC+11.0,519,UTC_plus_11_0.csv,"Asia/Magadan, Asia/Sakhalin, Asia/Srednekolymsk, Australia/Hobart, Australia/Melbourne, Australia/Sydney, Pacific/Bougainville, Pacific/Efate, Pacific/Guadalcanal"
UTC+12.0,317,UTC_plus_12_0.csv,"Asia/Anadyr, Asia/Kamchatka, Pacific/Fiji, Pacific/Funafuti, Pacific/Nauru, Pacific/Tarawa"
UTC-1.0,278,UTC_minus_1_0.csv,"Atlantic/Azores, Atlantic/Cape_Verde"
UTC+5.75,261,UTC_plus_5_75.csv,Asia/Kathmandu
UTC-8.0,245,UTC_minus_8_0.csv,"America/Los_Angeles, America/Tijuana, America/Vancouver"
UTC+10.5,41,UTC_plus_10_5.csv,"Australia/Adelaide, Australia/Broken_Hill"
UTC+9.5,40,UTC_plus_9_5.csv,Australia/Darwin
UTC-9.0,40,UTC_minus_9_0.csv,"America/Anchorage, America/Juneau, America/Nome, America/Sitka"
UTC-10.0,40,UTC_minus_10_0.csv,Pacific/Honolulu
UTC-3.5,37,UTC_minus_3_5.csv,America/St_Johns
UTC+13.75,3,UTC_plus_13_75.csv,Pacific/Chatham
UTC+14.0,3,UTC_plus_14_0.csv,Pacific/Kiritimati
